,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_difference
,,,,,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,,,,,,
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,50,0,0,0.0,63.0,67.0,11855136.0,11855136.0,400.0,-4.0,1.0,24.0,22.0,2032892.0,2032892.0,400.0,2.0,2.0,78.0,83.0,12577520.0,11600624.0,400.0,-5.0,3.0,31.0,30.0,3868872.0,3868872.0,400.0,1.0,4.0,34.0,39.0,3446416.0,4954128.0,400.0,-5.0,23.27015255644019,25.82053446387197,5037059.8179449085,4563579.703765543,0.0,3.420526275297414
2,3,50,1,1,0.0,1084.0,49.0,215493888.0,296937344.0,800.0,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,50,1,2,0.0,453.0,145.0,63857776.0,560028560.0,1200.0,308.0,,,,,,,,2.0,437.0,126.0,81345136.0,381893616.0,1200.0,311.0,,,,,,,,,,,,,,,11.313708498984761,13.435028842544403,12365430.841050385,125960426.8686859,0.0,2.1213203435596424
2,5,5,0,0,0.0,10.0,2.0,32.0,32.0,160.0,8.0,1.0,6.0,2.0,24.0,24.0,160.0,4.0,2.0,8.0,2.0,16.0,16.0,160.0,6.0,3.0,8.0,2.0,20.0,20.0,160.0,6.0,4.0,7.0,2.0,28.0,28.0,160.0,5.0,1.4832396974191326,0.0,6.324555320336759,6.324555320336759,0.0,1.4832396974191326
2,5,5,1,1,0.0,13.0,8.0,192.0,176.0,320.0,5.0,1.0,12.0,9.0,144.0,160.0,320.0,3.0,2.0,14.0,8.0,128.0,168.0,320.0,6.0,3.0,13.0,9.0,176.0,192.0,320.0,4.0,4.0,13.0,5.0,112.0,304.0,320.0,8.0,0.7071067811865476,1.6431676725154984,33.17830616532435,59.329587896765304,0.0,1.9235384061671346
2,5,5,1,2,0.0,14.0,9.0,184.0,720.0,480.0,5.0,1.0,13.0,8.0,336.0,448.0,480.0,5.0,2.0,13.0,8.0,208.0,240.0,480.0,5.0,3.0,14.0,5.0,144.0,152.0,480.0,9.0,4.0,17.0,7.0,168.0,488.0,480.0,10.0,1.6431676725154984,1.51657508881031,75.25955088890711,223.09818466316574,0.0,2.4899799195977463
2,5,5,1,3,0.0,14.0,9.0,624.0,4416.0,640.0,5.0,1.0,14.0,9.0,416.0,640.0,640.0,5.0,2.0,13.0,6.0,400.0,416.0,640.0,7.0,3.0,14.0,10.0,688.0,1056.0,640.0,4.0,4.0,13.0,6.0,528.0,592.0,640.0,7.0,0.5477225575051661,1.8708286933869707,126.18716258003425,1688.966547922131,0.0,1.3416407864998738
2,5,5,2,1,0.0,17.0,10.0,200.0,216.0,480.0,7.0,1.0,19.0,11.0,216.0,440.0,480.0,8.0,2.0,17.0,11.0,224.0,280.0,480.0,6.0,3.0,18.0,7.0,168.0,168.0,480.0,11.0,4.0,18.0,10.0,240.0,352.0,480.0,8.0,0.8366600265340756,1.6431676725154984,27.36421020237931,108.16284019939565,0.0,1.8708286933869707
2,5,5,2,2,0.0,17.0,9.0,704.0,2112.0,800.0,8.0,1.0,17.0,11.0,496.0,2336.0,800.0,6.0,2.0,22.0,12.0,624.0,2528.0,800.0,10.0,3.0,18.0,10.0,640.0,1728.0,800.0,8.0,4.0,19.0,8.0,384.0,432.0,800.0,11.0,2.0736441353327724,1.5811388300841898,128.2996492590685,834.7953042512877,0.0,1.9493588689617927
2,5,5,2,3,0.0,19.0,17.0,1984.0,29568.0,1120.0,2.0,1.0,18.0,14.0,2624.0,664336.0,1120.0,4.0,2.0,18.0,10.0,2256.0,119488.0,1120.0,8.0,3.0,17.0,11.0,640.0,7440.0,1120.0,6.0,4.0,17.0,9.0,2304.0,27584.0,1120.0,8.0,0.8366600265340756,3.271085446759225,772.9507099421023,279887.5928425553,0.0,2.6076809620810595
2,5,5,3,1,0.0,22.0,10.0,696.0,2184.0,640.0,12.0,1.0,21.0,15.0,416.0,768.0,640.0,6.0,2.0,23.0,13.0,304.0,1088.0,640.0,10.0,3.0,26.0,13.0,280.0,416.0,640.0,13.0,4.0,23.0,10.0,320.0,2296.0,640.0,13.0,1.8708286933869707,2.16794833886788,171.63682588535596,847.0825225442915,0.0,2.949576240750525
