,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Average,Average,Average,Average,Average,Average,STD,STD,STD,STD,STD,STD
,,,,,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,50,1,1,1084,49,215493888,296937344,800,1035,,,,,,,,,,,,,,,,,,,,,,,,,1084,49,215493888,296937344,800,1035,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,3,50,1,2,453,145,63857776,560028560,1200,308,,,,,,,437,126,81345136,381893616,1200,311,,,,,,,,,,,,,445,135.5,72601456,470961088,1200,309.5,11.3137085,13.43502884,12365430.84,125960426.9,0,2.121320344
2,5,5,0,0,10,2,32,32,160,8,6,2,24,24,160,4,8,2,16,16,160,6,8,2,20,20,160,6,7,2,28,28,160,5,7.8,2,24,24,160,5.8,1.483239697,0,6.32455532,6.32455532,0,1.483239697
2,5,5,1,1,13,8,192,176,320,5,12,9,144,160,320,3,14,8,128,168,320,6,13,9,176,192,320,4,13,5,112,304,320,8,13,7.8,150.4,200,320,5.2,0.707106781,1.643167673,33.17830617,59.3295879,0,1.923538406
2,5,5,1,2,14,9,184,720,480,5,13,8,336,448,480,5,13,8,208,240,480,5,14,5,144,152,480,9,17,7,168,488,480,10,14.2,7.4,208,409.6,480,6.8,1.643167673,1.516575089,75.25955089,223.0981847,0,2.48997992
2,5,5,1,3,14,9,624,4416,640,5,14,9,416,640,640,5,13,6,400,416,640,7,14,10,688,1056,640,4,13,6,528,592,640,7,13.6,8,531.2,1424,640,5.6,0.547722558,1.870828693,126.1871626,1688.966548,0,1.341640786
2,5,5,2,1,17,10,200,216,480,7,19,11,216,440,480,8,17,11,224,280,480,6,18,7,168,168,480,11,18,10,240,352,480,8,17.8,9.8,209.6,291.2,480,8,0.836660027,1.643167673,27.3642102,108.1628402,0,1.870828693
2,5,5,2,2,17,9,704,2112,800,8,17,11,496,2336,800,6,22,12,624,2528,800,10,18,10,640,1728,800,8,19,8,384,432,800,11,18.6,10,569.6,1827.2,800,8.6,2.073644135,1.58113883,128.2996493,834.7953043,0,1.949358869
2,5,5,2,3,19,17,1984,29568,1120,2,18,14,2624,664336,1120,4,18,10,2256,119488,1120,8,17,11,640,7440,1120,6,17,9,2304,27584,1120,8,17.8,12.2,1961.6,169683.2,1120,5.6,0.836660027,3.271085447,772.9507099,279887.5928,0,2.607680962
2,5,5,3,1,22,10,696,2184,640,12,21,15,416,768,640,6,23,13,304,1088,640,10,26,13,280,416,640,13,23,10,320,2296,640,13,23,12.2,403.2,1350.4,640,10.8,1.870828693,2.167948339,171.6368259,847.0825225,0,2.949576241
2,5,5,3,2,22,12,704,1536,1120,10,22,12,896,2400,1120,10,23,13,2784,10336,1120,10,22,15,1088,3488,1120,7,23,11,672,7528,1120,12,22.4,12.6,1228.8,5057.6,1120,9.8,0.547722558,1.516575089,885.2497953,3738.065382,0,1.788854382
2,5,5,3,3,25,19,1816,25552,1600,6,25,15,2008,642488,1600,10,23,19,10136,331216,1600,4,23,18,2184,25464,1600,5,25,17,2464,591264,1600,8,24.2,17.6,3721.6,323196.8,1600,6.6,1.095445115,1.673320053,3593.676224,296272.024,0,2.408318916
2,5,20,0,0,7,4,24464,24464,640,3,14,6,19856,19856,640,8,11,6,22752,22752,640,5,10,4,10496,10496,640,6,9,6,63104,63104,640,3,10.2,5.2,28134.4,28134.4,640,5,2.588435821,1.095445115,20279.05355,20279.05355,0,2.121320344
2,5,20,1,1,11,11,45248,68416,1280,0,,,,,,,20,13,68576,94944,1280,7,,,,,,,19,11,102016,140928,1280,8,16.66666667,11.66666667,71946.66667,101429.3333,1280,5,4.932882862,1.154700538,28533.70816,36688.44774,0,4.358898944
2,5,20,1,2,,,,,,,17,12,109952,403136,1920,5,17,12,194368,481088,1920,5,15,13,62528,134976,1920,2,,,,,,,16.33333333,12.33333333,122282.6667,339733.3333,1920,4,1.154700538,0.577350269,66779.34116,181557.9873,0,1.732050808
2,5,20,1,3,16,15,240384,442688,2560,1,18,14,249024,501184,2560,4,20,13,344128,4056960,2560,7,,,,,,,11,17,208064,458176,2560,-6,16.25,14.75,260400,1364752,2560,1.5,3.862210075,1.707825128,58536.28081,1794975.921,0,5.567764363
2,5,20,2,1,25,16,241920,1985408,1920,9,,,,,,,,,,,,,21,14,171008,475904,1920,7,,,,,,,23,15,206464,1230656,1920,8,2.828427125,1.414213562,50142.35607,1067380.515,0,1.414213562
2,5,20,2,2,24,22,262080,685760,3200,2,27,20,598720,3411648,3200,7,21,24,349632,2039744,3200,-3,,,,,,,25,23,1336768,4417408,3200,2,24.25,22.25,636800,2638640,3200,2,2.5,1.707825128,487950.0746,1626240.417,0,4.082482905
2,5,20,2,3,30,38,969536,18091008,4480,-8,26,40,283712,530176,4480,-14,,,,,,,25,45,440000,966592,4480,-20,,,,,,,27,41,564416,6529258.667,4480,-14,2.645751311,3.605551275,359441.4355,10015146.05,0,6
2,5,20,3,1,31,21,289280,1749888,2560,10,29,19,206976,582656,2560,10,,,,,,,28,28,314240,1244800,2560,0,,,,,,,29.33333333,22.66666667,270165.3333,1192448,2560,6.666666667,1.527525232,4.725815626,56128.59597,585374.3968,0,5.773502692
2,5,20,3,2,33,45,534464,8482752,4480,-12,34,34,1073088,20343104,4480,0,37,45,892288,3440512,4480,-8,31,45,523136,3253344,4480,-14,29,56,370432,1156736,4480,-27,32.8,45,678681.6,7335289.6,4480,-12.2,3.033150178,7.778174593,292059.5266,7754450.375,0,9.859006035
2,5,20,3,3,35,124,749312,55375232,6400,-89,,,,,,,,,,,,,37,103,2185216,576854400,6400,-66,,,,,,,36,113.5,1467264,316114816,6400,-77.5,1.414213562,14.8492424,1015337.456,368741455.9,0,16.26345597
2,5,50,0,0,,,,,,,,,,,,,1113,1175,161553856,161553856,1600,-62,2067,2107,247039808,247039808,1600,-40,,,,,,,1590,1641,204296832,204296832,1600,-51,674.5798693,659.0235201,60447696.36,60447696.36,0,15.55634919
3,2,5,0,0,9,2,108,108,90,7,9,2,108,108,90,7,10,2,90,90,90,8,9,2,90,90,90,7,6,2,108,108,90,4,8.6,2,100.8,100.8,90,6.6,1.516575089,0,9.859006035,9.859006035,0,1.516575089
3,2,5,1,1,15,8,324,378,180,7,14,6,486,540,180,8,13,9,648,810,180,4,14,8,324,918,180,6,16,9,360,360,180,7,14.4,8,428.4,601.2,180,6.4,1.140175425,1.224744871,139.6595861,252.8343331,0,1.516575089
3,2,5,1,2,14,8,3888,14580,270,6,13,9,594,702,270,4,14,8,3240,8100,270,6,14,9,2430,178848,270,5,14,6,702,756,270,8,13.8,8,2170.8,40597.2,270,5.8,0.447213595,1.224744871,1483.477401,77500.31388,0,1.483239697
3,2,5,1,3,13,6,756,1998,360,7,13,9,1242,4158,360,4,12,7,810,972,360,5,13,8,4860,4050,360,5,15,9,1944,29160,360,6,13.2,7.8,1922.4,8067.6,360,5.4,1.095445115,1.303840481,1709.592583,11869.1091,0,1.140175425
