,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,5,3,1,0.0,63.0,16.0,696.0,2184.0,146.0,640.0,47.0,1.0,62.0,16.0,416.0,768.0,93.0,640.0,46.0,2.0,78.0,32.0,304.0,1088.0,108.0,640.0,46.0,3.0,63.0,16.0,280.0,416.0,104.0,640.0,47.0,4.0,62.0,15.0,320.0,2296.0,93.0,640.0,47.0
2,5,5,3,2,0.0,62.0,32.0,704.0,1536.0,193.0,1120.0,30.0,1.0,62.0,16.0,896.0,2400.0,219.0,1120.0,46.0,2.0,62.0,16.0,2784.0,10336.0,252.0,1120.0,46.0,3.0,62.0,16.0,1088.0,3488.0,223.0,1120.0,46.0,4.0,94.0,31.0,672.0,7528.0,184.0,1120.0,63.0
2,5,5,3,3,0.0,63.0,31.0,1816.0,25552.0,330.0,1600.0,32.0,1.0,78.0,16.0,2008.0,642488.0,351.0,1600.0,62.0,2.0,78.0,31.0,10136.0,331216.0,832.0,1600.0,47.0,3.0,78.0,31.0,2184.0,25464.0,345.0,1600.0,47.0,4.0,78.0,31.0,2464.0,591264.0,377.0,1600.0,47.0
2,5,20,0,0,0.0,63.0,0.0,24464.0,24464.0,377.0,640.0,63.0,1.0,63.0,16.0,19856.0,19856.0,323.0,640.0,47.0,2.0,62.0,16.0,22752.0,22752.0,382.0,640.0,46.0,3.0,63.0,0.0,10496.0,10496.0,351.0,640.0,63.0,4.0,62.0,16.0,63104.0,63104.0,399.0,640.0,46.0
2,5,20,1,1,0.0,78.0,16.0,45248.0,68416.0,721.0,1280.0,62.0,,,,,,,,,2.0,78.0,15.0,68576.0,94944.0,843.0,1280.0,63.0,,,,,,,,,4.0,78.0,31.0,102016.0,140928.0,861.0,1280.0,47.0
2,5,20,1,2,,,,,,,,,1.0,78.0,47.0,109952.0,403136.0,1046.0,1920.0,31.0,2.0,79.0,15.0,194368.0,481088.0,1249.0,1920.0,64.0,3.0,78.0,46.0,62528.0,134976.0,1109.0,1920.0,32.0,,,,,,,,
2,5,20,1,3,0.0,78.0,47.0,240384.0,442688.0,1439.0,2560.0,31.0,1.0,79.0,47.0,249024.0,501184.0,1912.0,2560.0,32.0,2.0,78.0,31.0,344128.0,4056960.0,1812.0,2560.0,47.0,,,,,,,,,4.0,78.0,31.0,208064.0,458176.0,1723.0,2560.0,47.0
2,5,20,2,1,0.0,94.0,15.0,241920.0,1985408.0,1179.0,1920.0,79.0,,,,,,,,,,,,,,,,,3.0,78.0,47.0,171008.0,475904.0,1283.0,1920.0,31.0,,,,,,,,
2,5,20,2,2,0.0,93.0,47.0,262080.0,685760.0,2117.0,3200.0,46.0,1.0,109.0,62.0,598720.0,3411648.0,2200.0,3200.0,47.0,2.0,110.0,47.0,349632.0,2039744.0,2193.0,3200.0,63.0,,,,,,,,,4.0,94.0,47.0,1336768.0,4417408.0,2225.0,3200.0,47.0
2,5,20,2,3,0.0,110.0,109.0,969536.0,18091008.0,3007.0,4480.0,1.0,1.0,109.0,94.0,283712.0,530176.0,2825.0,4480.0,15.0,,,,,,,,,3.0,110.0,94.0,440000.0,966592.0,2716.0,4480.0,16.0,,,,,,,,
2,5,20,3,1,0.0,109.0,47.0,289280.0,1749888.0,1631.0,2560.0,62.0,1.0,94.0,47.0,206976.0,582656.0,1470.0,2560.0,47.0,,,,,,,,,3.0,110.0,47.0,314240.0,1244800.0,1728.0,2560.0,63.0,,,,,,,,
2,5,20,3,2,0.0,140.0,125.0,534464.0,8482752.0,2878.0,4480.0,15.0,1.0,109.0,62.0,1073088.0,20343104.0,3360.0,4480.0,47.0,2.0,126.0,94.0,892288.0,3440512.0,2790.0,4480.0,32.0,3.0,125.0,157.0,523136.0,3253344.0,2977.0,4480.0,-32.0,4.0,125.0,141.0,370432.0,1156736.0,2644.0,4480.0,-16.0
2,5,20,3,3,0.0,125.0,219.0,749312.0,55375232.0,4231.0,6400.0,-94.0,,,,,,,,,,,,,,,,,3.0,125.0,141.0,2185216.0,576854400.0,4319.0,6400.0,-16.0,,,,,,,,
2,5,50,0,0,0.0,15737.0,18152.0,1893935776.0,1893935776.0,1369.0,1600.0,-2415.0,,,,,,,,,2.0,1094.0,1250.0,161553856.0,161553856.0,1299.0,1600.0,-156.0,3.0,1937.0,2234.0,247039808.0,247039808.0,1377.0,1600.0,-297.0,,,,,,,,
2,5,50,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,52104.0,2952.0,3450799424.0,7920279872.0,4034.0,4800.0,49152.0
3,2,5,0,0,0.0,62.0,15.0,108.0,108.0,46.0,90.0,47.0,1.0,47.0,0.0,108.0,108.0,40.0,90.0,47.0,2.0,47.0,0.0,90.0,90.0,34.0,90.0,47.0,3.0,47.0,0.0,90.0,90.0,34.0,90.0,47.0,4.0,47.0,0.0,108.0,108.0,40.0,90.0,47.0
3,2,5,1,1,0.0,62.0,16.0,324.0,378.0,82.0,180.0,46.0,1.0,47.0,15.0,486.0,540.0,94.0,180.0,32.0,2.0,47.0,0.0,648.0,810.0,108.0,180.0,47.0,3.0,63.0,15.0,324.0,918.0,68.0,180.0,48.0,4.0,62.0,0.0,360.0,360.0,82.0,180.0,62.0
3,2,5,1,2,0.0,62.0,16.0,3888.0,14580.0,160.0,270.0,46.0,1.0,62.0,16.0,594.0,702.0,134.0,270.0,46.0,2.0,62.0,0.0,3240.0,8100.0,182.0,270.0,62.0,3.0,62.0,16.0,2430.0,178848.0,310.0,270.0,46.0,4.0,62.0,0.0,702.0,756.0,142.0,270.0,62.0
3,2,5,1,3,0.0,62.0,15.0,756.0,1998.0,154.0,360.0,47.0,1.0,46.0,16.0,1242.0,4158.0,208.0,360.0,30.0,2.0,62.0,16.0,810.0,972.0,170.0,360.0,46.0,3.0,47.0,0.0,4860.0,4050.0,374.0,360.0,47.0,4.0,62.0,15.0,1944.0,29160.0,196.0,360.0,47.0
3,2,5,2,1,0.0,63.0,16.0,1188.0,9504.0,142.0,270.0,47.0,1.0,63.0,16.0,1296.0,7506.0,140.0,270.0,47.0,2.0,78.0,15.0,756.0,1566.0,122.0,270.0,63.0,3.0,63.0,15.0,1188.0,3240.0,130.0,270.0,48.0,4.0,62.0,16.0,1080.0,2754.0,124.0,270.0,46.0
3,2,5,2,2,0.0,62.0,16.0,4266.0,38826.0,280.0,450.0,46.0,1.0,62.0,15.0,3402.0,28998.0,300.0,450.0,47.0,2.0,62.0,16.0,2592.0,1064988.0,404.0,450.0,46.0,3.0,62.0,15.0,2214.0,13230.0,274.0,450.0,47.0,4.0,62.0,16.0,3672.0,119826.0,284.0,450.0,46.0
3,2,5,2,3,0.0,62.0,16.0,6318.0,1359504.0,430.0,630.0,46.0,1.0,62.0,31.0,9396.0,1282392.0,358.0,630.0,31.0,2.0,63.0,15.0,325620.0,2754995490.0,1960.0,630.0,48.0,3.0,63.0,32.0,19926.0,10099296.0,1430.0,630.0,31.0,4.0,62.0,15.0,14256.0,10100214.0,664.0,630.0,47.0
3,2,5,3,1,0.0,62.0,15.0,6426.0,67878.0,310.0,360.0,47.0,1.0,63.0,16.0,1620.0,11880.0,244.0,360.0,47.0,2.0,78.0,15.0,1566.0,3942.0,220.0,360.0,63.0,3.0,81.0,16.0,1242.0,10044.0,196.0,360.0,65.0,4.0,62.0,31.0,1836.0,24030.0,232.0,360.0,31.0
3,2,5,3,2,0.0,78.0,16.0,6912.0,3196800.0,556.0,630.0,62.0,1.0,63.0,16.0,12744.0,324108.0,926.0,630.0,47.0,2.0,63.0,16.0,3942.0,14364.0,398.0,630.0,47.0,3.0,63.0,31.0,5184.0,421686.0,742.0,630.0,32.0,4.0,62.0,32.0,5508.0,913464.0,460.0,630.0,30.0
3,2,5,3,3,0.0,78.0,46.0,93798.0,9298983384.0,9196.0,900.0,32.0,1.0,62.0,31.0,173502.0,2715844302.0,2734.0,900.0,31.0,2.0,78.0,63.0,611874.0,860956074.0,19988.0,900.0,15.0,3.0,78.0,31.0,31104.0,345193255692.0,3184.0,900.0,47.0,4.0,62.0,32.0,22518.0,38326986.0,2006.0,900.0,30.0
