,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_RComplexity,Avg_difference,STD_Hugin,STD_SIIC,STD_HuginCost,STD_SIICCost,STD_complexity,STD_RComplexity,STD_difference
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,,,,,,,,,,,,,,
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,5,3,1,0.0,78.0,15.0,312.0,520.0,107.0,160.0,63.0,1.0,62.0,15.0,424.0,1168.0,104.0,160.0,47.0,2.0,62.0,16.0,488.0,1272.0,99.0,160.0,46.0,3.0,63.0,15.0,384.0,768.0,106.0,160.0,48.0,4.0,62.0,16.0,440.0,1360.0,101.0,160.0,46.0,65.4,15.4,1017.6,103.4,160.0,409.6,50.0,7.056911505750939,0.5477225575051661,358.63742136034824,3.361547262794322,0.0,66.06663303060026,7.314369419163897
2,3,5,3,2,0.0,78.0,16.0,2192.0,110928.0,244.0,280.0,62.0,1.0,78.0,16.0,992.0,3280.0,220.0,280.0,62.0,,,,,,,,,3.0,63.0,15.0,1248.0,14592.0,203.0,280.0,48.0,4.0,63.0,31.0,880.0,9856.0,199.0,280.0,32.0,70.5,19.5,34664.0,216.5,280.0,1328.0,51.0,8.660254037844387,7.681145747868608,51053.81213321228,20.46948949045872,0.0,596.23708930816,14.2828568570857
2,3,5,3,3,0.0,78.0,31.0,2168.0,305632.0,390.0,400.0,47.0,1.0,62.0,15.0,3888.0,1278464.0,484.0,400.0,47.0,2.0,63.0,32.0,3208.0,156032.0,366.0,400.0,31.0,3.0,78.0,32.0,13552.0,459808.0,1229.0,400.0,46.0,4.0,63.0,32.0,2784.0,28552.0,442.0,400.0,31.0,68.8,28.4,445697.6,582.2,400.0,5120.0,40.4,8.408329203831164,7.503332592921629,492756.01571244164,364.462892487013,0.0,4755.086539696202,8.590692637965812
2,3,20,0,0,0.0,62.0,15.0,4512.0,4512.0,171.0,160.0,47.0,1.0,62.0,0.0,3712.0,3712.0,167.0,160.0,62.0,2.0,63.0,16.0,2016.0,2016.0,148.0,160.0,47.0,3.0,63.0,16.0,4096.0,4096.0,165.0,160.0,47.0,4.0,63.0,16.0,5168.0,5168.0,166.0,160.0,47.0,62.6,12.6,3900.8,163.4,160.0,3900.8,50.0,0.5477225575051661,7.05691150575094,1183.805389411621,8.905054744357274,0.0,1183.805389411621,6.708203932499369
2,3,20,1,1,0.0,63.0,31.0,11608.0,29752.0,316.0,320.0,32.0,1.0,78.0,31.0,18784.0,37824.0,327.0,320.0,47.0,2.0,78.0,31.0,15424.0,90528.0,343.0,320.0,47.0,3.0,78.0,31.0,9776.0,14128.0,313.0,320.0,47.0,,,,,,,,,74.25,31.0,43058.0,324.75,320.0,13898.0,43.25,7.5,0.0,33140.05729224579,13.573871960498227,0.0,4018.1528094386854,7.5
2,3,20,1,2,0.0,63.0,31.0,15328.0,35696.0,469.0,480.0,32.0,1.0,78.0,47.0,123488.0,862976.0,560.0,480.0,31.0,2.0,78.0,46.0,74144.0,153664.0,487.0,480.0,32.0,3.0,78.0,47.0,40880.0,143664.0,513.0,480.0,31.0,,,,,,,,,74.25,42.75,299000.0,507.25,480.0,63460.0,31.5,7.5,7.847504911329036,379758.5859393658,39.53374086355435,0.0,46704.940723653635,0.5773502691896257
2,3,20,1,3,,,,,,,,,,,,,,,,,2.0,79.0,47.0,90912.0,390224.0,745.0,640.0,32.0,,,,,,,,,,,,,,,,,79.0,47.0,390224.0,745.0,640.0,90912.0,32.0,,,,,,,
2,3,20,2,1,0.0,109.0,32.0,53952.0,138144.0,481.0,480.0,77.0,,,,,,,,,2.0,94.0,31.0,50320.0,342480.0,523.0,480.0,63.0,,,,,,,,,4.0,93.0,31.0,74576.0,222576.0,505.0,480.0,62.0,98.66666666666667,31.333333333333332,234400.0,503.0,480.0,59616.0,67.33333333333333,8.962886439832502,0.5773502691896258,102679.8687961764,21.071307505705477,0.0,13082.394887787175,8.386497083606084
2,3,20,2,2,,,,,,,,,,,,,,,,,,,,,,,,,3.0,109.0,62.0,496000.0,17324416.0,929.0,800.0,47.0,,,,,,,,,109.0,62.0,17324416.0,929.0,800.0,496000.0,47.0,,,,,,,
2,3,20,2,3,,,,,,,,,,,,,,,,,2.0,109.0,203.0,749632.0,47472768.0,1357.0,1120.0,-94.0,,,,,,,,,,,,,,,,,109.0,203.0,47472768.0,1357.0,1120.0,749632.0,-94.0,,,,,,,
2,3,20,3,1,0.0,109.0,62.0,81704.0,851312.0,700.0,640.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,62.0,851312.0,700.0,640.0,81704.0,47.0,,,,,,,
2,3,20,3,2,0.0,110.0,156.0,133920.0,1034752.0,1264.0,1120.0,-46.0,1.0,109.0,125.0,553120.0,40137504.0,1259.0,1120.0,-16.0,2.0,125.0,125.0,782240.0,5419985248.0,1256.0,1120.0,0.0,,,,,,,,,,,,,,,,,114.66666666666667,135.33333333333334,1820385834.6666667,1259.6666666666667,1120.0,489760.0,-20.666666666666668,8.962886439832502,17.897858344878397,3117405845.996917,4.041451884327381,0.0,328771.30775053956,23.35237318418266
2,3,20,3,3,0.0,125.0,297.0,474112.0,119956192.0,1808.0,1600.0,-172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,297.0,119956192.0,1808.0,1600.0,474112.0,-172.0,,,,,,,
2,3,50,0,0,0.0,144.0,79.0,11855136.0,11855136.0,469.0,400.0,65.0,1.0,125.0,47.0,2032892.0,2032892.0,433.0,400.0,78.0,2.0,140.0,109.0,12577520.0,11600624.0,454.0,400.0,31.0,3.0,125.0,63.0,3868872.0,3868872.0,450.0,400.0,62.0,4.0,109.0,47.0,3446416.0,4954128.0,456.0,400.0,62.0,128.6,69.0,6862330.4,452.4,400.0,6756167.2,59.6,13.939153489362258,26.0,4563579.703765543,12.973048986263791,0.0,5037059.8179449085,17.30028901492689
2,3,50,1,1,0.0,1047.0,93.0,215493888.0,296937344.0,979.0,800.0,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047.0,93.0,296937344.0,979.0,800.0,215493888.0,954.0,,,,,,,
2,3,50,1,2,0.0,469.0,203.0,63857776.0,560028560.0,1431.0,1200.0,266.0,,,,,,,,,2.0,453.0,172.0,81345136.0,381893616.0,1367.0,1200.0,281.0,,,,,,,,,,,,,,,,,461.0,187.5,470961088.0,1399.0,1200.0,72601456.0,273.5,11.313708498984761,21.920310216782973,125960426.8686859,45.254833995939045,0.0,12365430.841050385,10.606601717798213
2,3,50,2,2,0.0,59027.0,768.0,3452209200.0,34644586416.0,2386.0,2000.0,58259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59027.0,768.0,34644586416.0,2386.0,2000.0,3452209200.0,58259.0,,,,,,,
2,5,5,0,0,0.0,47.0,0.0,32.0,32.0,27.0,160.0,47.0,1.0,46.0,0.0,24.0,24.0,27.0,160.0,46.0,2.0,63.0,16.0,16.0,16.0,22.0,160.0,47.0,3.0,63.0,15.0,20.0,20.0,27.0,160.0,48.0,4.0,47.0,0.0,28.0,28.0,22.0,160.0,47.0,53.2,6.2,24.0,25.0,160.0,24.0,47.0,8.955445270895245,8.497058314499201,6.324555320336759,2.7386127875258306,0.0,6.324555320336759,0.7071067811865476
2,5,5,1,1,0.0,62.0,0.0,192.0,176.0,70.0,320.0,62.0,1.0,62.0,0.0,144.0,160.0,56.0,320.0,62.0,2.0,62.0,16.0,128.0,168.0,57.0,320.0,46.0,3.0,47.0,0.0,176.0,192.0,64.0,320.0,47.0,4.0,63.0,16.0,112.0,304.0,41.0,320.0,47.0,59.2,6.4,200.0,57.6,320.0,150.4,52.8,6.833739825307955,8.763560920082659,59.329587896765304,10.876580344942983,0.0,33.17830616532435,8.408329203831164
